;Lane;Task;Verb;NounPhrases;Label;
495;SSP (Mail Center);Request relevant info;Request;relevant info;;
496;SSP (Mail Center);Receive conformation;Receive;conformation;;
497;Admin Office;Check completeness of invoices;Check;completeness of invoices;;
498;Admin Office;Tick the relevant box on the invoice entry form;Tick;relevant box on the invoice entry form;;
499;Admin Office;Return to client via postal mail;Return to;client via postal mail;;
500;Admin Office;Receive completed invoices;Receive;completed invoices;;
501;Mail Center;Open envelopes;Open;envelopes;;
502;Mail Center;Categorise invoices;Categorise;invoices;;
503;Admin Office;Check compliance;Check;compliance;;
504;Admin Office;Attach invoice entry form to invoices;Attach;invoice entry form to invoices;;
505;Admin Office;Check priority;Check;priority;;
506;Admin Office;Apply red stamp on invoice entry form;Apply;red stamp on invoice entry form;;
507;Admin Office;Sort invoices per client;Sort;invoices per client;;
508;Admin Office;Sort invoices per vendor;Sort;invoices per vendor;;
509;Admin Office;Send invoice to experienced staff;Send;invoice to|staff;;
510;Admin Office;Call client for required information;Call;client for|information;;
511;Admin Office;Enter client/vendor information on the invoice entry form;Enter;client|vendor information on the invoice entry form;Conjunctive clause;
512;Admin Office;Check service level agreements;Check;service level agreements;;
513;Data Entry Office;Check priority;Check;priority;;
514;Data Entry Office;Look up vendor in SAP;Look up;vendor in SAP;;
515;Data Entry Office;Enter vendor number into invoice entry form;Enter;vendor number into invoice entry form;;
516;Data Entry Office;Resort invoices per Vendor;Resort;invoices per Vendor;;
517;Data Entry Office;Sort invoices based on invoice amount;based on;Sort invoices|invoice amount;Starts with subject;
518;Data Entry Office;Enter invoice data;Enter;invoice data;;
519;Data Entry Office;Tick invoice entered box on the invoice entry form;Tick;invoice entered box on the invoice entry form;;
520;Master Data Enter Department;Check priority;Check;priority;;
521;Master Data Enter Department;Enter new vendor master record into SAP within 5days;Enter;new vendor master record into SAP|days;;
522;Master Data Enter Department;Enter new vendor master record into SAP within 24 hours;Enter;new vendor master record into SAP|hours;;
523;Validation Office;Check priority;Check;priority;;
524;Validation Office;Sort invoices per client;Sort;Sort invoices per client;;
525;Validation Office;Print invoices report from SAP;Print;invoices report from SAP;;
526;Validation Office;Login to SAP;Login to;SAP;;
527;Validation Office;Change status to validated;Change status to;validated;;
528;Validation Office;Send invoices to DEO;Send;invoices to DEO;;
529;Registry;Pay invoices;Pay;invoices;;
530;Registry;Generate payment report;Generate;payment report;;
531;Registry;Send report to client;Send;report to client;;
532;Registry;Send report to Registry Officer;Send;report to Registry Officer;;
533;Registry;Select paid invoces;Select paid;invoces;;
534;Registry;Archive invoices per vendor;Archive;invoices per vendor;;
535;Registry;Archive invoices per payment date;Archive;invoices per payment date;;
536;Registry;Track original invoice;Track;original invoice;;
537;Registry;Compare invoice with invoice entry form;Compare;invoice with invoice entry form;;
538;Registry;Send report to Accounts Receivable Department;Send;report to Accounts Receivable Department;;
539;Account Receivable Department;Generate monthly invoice;Generate;monthly invoice;;
540;Account Receivable Department;Charge flat fee;Charge;flat fee;;
541;Validation Office;Check invoice data for errors;Check;invoice data for errors;;
542;Validation Office;Highlight errors on invoice entry form;Highlight;errors on invoice entry form;;
543;Validation Office;Keep performance record of DEO;Keep;performance record of DEO;;
544;Admin Office;Return invoice to client via postal mail;Return;invoice to client|postal mail;;
545;Admin Office;Send reminder letter;Send;reminder letter;;
546;Admin Office;Send 2nd reminder letter;Send;2nd reminder letter;;
547;Data Entry Office;Generate Vendor master record request form;Generate;Vendor master record request form;;
548;Data Entry Office;Staple form to invoice;Staple;form to invoice;;
549;Data Entry Office;Place form to invoice;Place;form to invoice;;
550;Credit Company;Collect credit information;Collect;credit information;;
551;Credit Company;Assess risk;Assess;risk;;
552;Credit Company;Request approval;Request;approval;;
553;Credit Company;Accept credit;Accept;credit;;
554;Credit Company;Reject credit;Reject;credit;;
555;Order to Cash;Processing customer demand;Process;customer demand;;
556;Order to Cash;Sell product to customer;Sell;product to customer;Verb phrase spanning;
557;Make to Inventory;Determine demanded components according to planning;Determine demanded;demanded components according to planning;Verb phrase spanning;
558;Make to Inventory;Purchase missing parts and put on stock;"Purchase;put on";"missing parts;stock";Conjunctive clause;
559;Production;Perform production;Perform;production;;
560;Production;Perform quality checks;Perform;quality checks;;
561;Production;Fill product into a packaging;Fill;product into a packaging;Verb phrase spanning;
562;Production;Pack and label product;Pack|label;product;Conjunctive clause;
563;Production;Transport product to the warehouse;Transport;product to the warehouse;Verb phrase spanning;
564;Production;Perform follow-up production;Perform;follow-up production;;
565;Teacher;Check process model;Check;process model;;
566;Teacher;Assign penalty points;Assign;penalty points;;
567;Teacher;Check process assign points;Check;process|points;;
568;Teacher;Consult project, check progress;Consult;project|progress;Conjunctive clause;
569;Team;Agree on team field;Agree on;team field;;
570;Team;Analyse field and identify process;"Analyse;identify";"field;process";Conjunctive clause;
571;Team;Assign roles in team;Assign;roles in team;;
572;Team;Present the project;Present;project;;
573;Student;Join team;Join;team;;
574;Student;Create one process model;Create;process model;;
575;Student;Fix process until next session;Fix;process until next session;Verb phrase spanning;
576;Student;Extend their process to L 2,3;Extend;process to L 2,3;Conjunctive clause;
577;Student;perform work according to the role;perform;work according to the role;;
578;Client;Deposit amount of money;Deposit;amount of money;;
579;Client;Withdraw amount of money;Withdraw;amount of money;;
580;Client;Transfer amount of money;Transfer;amount of money;;
581;Client;Provide Further Information;Provide;Further Information;;
582;Client;Cancel the order;Cancel;order;;
583;Client;Receive invoice;Receive;invoice;;
584;Bank Agent;Enter the required transaction details;Enter;transaction details;;
585;Bank Agent;Enter client's account details;Enter;client's account details;;
586;Bank Agent;Notify the client of problem;Notify;client of problem;Verb phrase spanning;
587;Bank Agent;Notify client of complete transaction;Notify;client of complete transaction;Verb phrase spanning;
588;Bank System;Check Client's account details;Check;Client's account details;;
589;Bank System;Add amount of money deposit to account;Add;amount of money deposit;Verb phrase spanning;
590;Bank System;transfer amount of money to account;account;transfer amount of money;Verb phrase spanning;
591;Bank System;Check account balance;Check;account balance;;
592;Bank System;Withdraw amount from account;Withdraw;amount from account;Verb phrase spanning;
593;Bank System;Issue invoice;Issue;invoice;;
594;Business Analyst;Collect data conduct business analysis regarding customer feedback;Collect;data conduct business analysis regarding customer feedback;Verb phrase spanning;
595;Business Analyst;Check design and provide feedback;"Check;provide";"design;feedback";Conjunctive clause;
596;Web Designer;Change design;Change;design;;
597;PHP/HTML/CSS Specialist;Integrate with the overall implemenation;Integrate with;overall implemenation;;
598;PHP/HTML/CSS Specialist;Adjust according to test results;Adjust according to;test results;;
599;Tester;Test the final website to make sure everything is going well;Test;final website;Verb phrase spanning;
600;Tester;provide test results;provide;test results;;
601;Business Analyst;Collect data conduct business analysis regarding customer service;Collect;data conduct business analysis regarding customer service;Verb phrase spanning;
602;Marketing Manager;Create and provide information about the company;Create|provide;information about the company;Conjunctive clause;
603;IT Staff Member;Create community groups on Facebook, Twitter and Myspace;Create;community groups on Facebook,Twitter and Myspace;Conjunctive clause;
604;IT Staff Member;Add provided information to the created groups;Add provided;information;Verb phrase spanning;
605;IT Staff Member;Add the provided information to the community;Add;information to the community;Verb phrase spanning;
606;IT Staff Member;Add new information as soon as Received;Add;new information;Verb phrase spanning;
607;Company's Spokesperson;Inquire about PRWeb press release services and prices for company's specific requirements;Inquire about;PRWeb press release services|prices for company's specific requirements;Conjunctive clause;
608;Company's Spokesperson;Make an order for the specific first run press release;Make;order for the specific first run press release;;
609;PRWeb Representative;Send back information regarding the requested requirements;Send;back information regarding the requested requirements;;
610;PRWeb Representative;Place an order for a fist run press release with the detailed company info;Place;order for a fist run press release with the detailed company info;;
611;PRWeb Services Headquarters;Run the first press release for the company;Run;first press release for the company;;
612;Business Analyst;Collect data about company's products conduct business analysis;Collect;data about company|products|business analysis;;
613;Web Designer;Integrate Design and decide where such data should be placed;"Integrate;decide";"Design;where such data should be placed";Conjunctive clause;
614;Marketing Manager;collect data and conduct business analysis covering all aspects about company's products;"collect;conduct";data|business analysis covering all aspects about company's products;Conjunctive clause;
615;Marketing Manager;create written material for the leaflet;create;written material for the leaflet;;
616;Marketing Manager;create written material for the whitepaper;create;written material for the whitepaper;;
617;Graphic Designer;create graphics and develop design for the leaflet;"create;develop";"graphics;design for the leaflet";Conjunctive clause;
618;Graphic Designer;create graphics and develop design for the whitepaper;"create;develop";"graphics;design for the whitepaper";Conjunctive clause;
619;Printing house;Print leaflets as ordered;Print;leaflets;Verb phrase spanning;
620;IT Staff Member;Integrate the whitepaper with company's website;Integrate;whitepaper with company's website;;
621;Company Representative;Define the Audience;Define;Audience;;
622;Company Representative;Develop a Concept;Develop;Concept;;
623;Company Representative;Upload to Youtube;Upload to;Youtube;;
624;Camera man;Shoot Video;Shoot;Video;;
625;Graphic designer;Create Graphics;Create;Graphics;;
626;Sound editor;Record Narration;Record;Narration;;
